#
# TOTAL DE REGISTROS POR TABELA - VDB FINANCEIRO
# Gerado em: 2025-07-30 (até 20250729)
#

WD_DOC_PE                                    = 1.939.131
WD_DOC_PERMITIDO_EVENTO                      = 46.315
WD_DOC_PE_OPERACAO                           = 218.260
WD_DOC_PF                                    = 21.274.206
WD_DOC_RA                                    = 597.753.870
WD_DOC_RO                                    = 66.497.882
WD_DOMICILIO_BANCARIO                        = 21.152.376
WD_ELEMENTO_DESPESA_NADE                     = 98
WD_EMDE_ADITIVO_TV                           = 1.201.316
WD_EMPRESA_DESTINATARIA_TV                   = 886.592
WD_EMP_NAO_SUP_FUNDOS_ORGAO                  = 5
WD_ENCERRAMENTO_CCON                         = 7
WD_ENTIDADE                                  = 28.305.964
WD_ENTIDADE_20210520                         = 24.816.328
WD_ENTIDADE_BKP                              = 24.797.669
WD_ENTIDADE_DOBA                             = 18.828.564
WD_ENTIDADE_SQL                              = 12.513.444
WD_ENTIDADE_SQL_BKP                          = 2.789.855
WD_ENVIO_FITA_ONLINE_GFIP                    = 6
WD_ENVIO_FITA_ONLINE_OB                      = 8
WD_ESCOLARIDADE                              = 72
WD_ESCOLARIDADE_CARGO                        = 9
WD_ESFERA_ADMIN_TV                           = 10
WD_ESFERA_ADMIN_UG                           = 9
WD_ESFERA_ORCAMENTARIA                       = 7
WD_ESFERA_SIORG                              = 6
WD_ESPECIE_DETA_ND                           = 6
WD_ESPECIE_GR_RA                             = 11
WD_ESPECIE_LISTA_ITENS_NE                    = 7
WD_ESPECIE_NE                                = 39
WD_ESPECIE_RA                                = 6
WD_ESPECIE_RECEITA2_NARE                     = 153
WD_ESPECIE_RECEITA_NARE                      = 144
WD_ESTADO_DOC_HABIL                          = 9
WD_ESTADO_MUNICIPIO_UG                       = 5
WD_EVENTO                                    = 34.068
WD_EVENTO_COMPLEMENTAR                       = 54.614
WD_EXERCICIO_ADITIVO_TV                      = 1.204.752
WD_EXERCICIO_TV                              = 895.216
WD_EXER_EMISSAO_NE                           = 6
WD_EXIG_EQUI_NATU_EVENTO                     = 5
WD_FAIXA_ETARIA                              = 16
WD_FAVORECIDO_EVENTO                         = 6
WD_FONTE_CADASTRO                            = 12.694
WD_FONTE_DETALHE_ORGAO_CENTRAL               = 1.403
WD_FONTE_DETALHE_REDUZIDO                    = 6.772
WD_FONTE_INSCRICAO_1_EVENTO                  = 34.642
WD_FONTE_INSCRICAO_2_EVENTO                  = 34.084
WD_FONTE_ORGAO_CENTRAL_ORGAO                 = 1.380
WD_FONTE_ORGAO_CENTRAL_VINCULACAO            = 1.380
WD_FONTE_RECURSO                             = 288
WD_FONTE_RECURSO_DETA                        = 51.821
WD_FONTE_RECURSO_PERMITIDO                   = 876
WD_FORMACAO_PROFISSIONAL                     = 6.433
WD_FORMA_UTILIZACAO_CPR                      = 8
WD_FPAS                                      = 34
WD_FUNCAO                                    = 21.529
WD_FUNCAO_PT                                 = 35
WD_FUNCAO_UG                                 = 6
WD_GESTAO                                    = 456
WD_GFIP                                      = 26
WD_GRUPO_CARGO                               = 548
WD_GRUPO_CCON                                = 54
WD_GRUPO_CREDOR_DIEX                         = 9
WD_GRUPO_DESPESA_NADE                        = 13
WD_GRUPO_DE_FONTE                            = 7
WD_GRUPO_DE_FONTE_DETA                       = 166
WD_GRUPO_EXERCICIO_CCON                      = 797
WD_GRUPO_FONTE                               = 13
WD_GRUPO_RUBRICA                             = 11
WD_GRUPO_SIT_VINC_SERV                       = 8
WD_HABILIT_PROFISSIONAL                      = 435
WD_IDADE                                     = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_IDENTIFICADOR_ACOMP_PO                    = 86
WD_IDOC                                      = 2.968
WD_IDUSO                                     = 13
WD_INDICADOR_EFEITO_ICC                      = 6
WD_INDI_GESTAO_FAVO_EVENTO                   = 9
WD_INDI_GESTAO_FAVO_EVENTO_TESTE             = 36
WD_INDI_GEST_SACO_EVENTO                     = 15
WD_INDI_NADE_EVENTO                          = 6
WD_INDI_UG_FAVORECIDO_EVENTO                 = 19
WD_INDI_UG_SACO_EVENTO                       = 39
WD_INICIATIVA_PT                             = 1.055
WD_INTEGRACAO_BALANCO_CCON                   = 5
WD_IN_ACAO_PT                                = 7
WD_IN_ACOM_INTENSIVO_CEOR                    = 10
WD_IN_DOCUMENTO_FINANCEIRO_TV                = 5
WD_IN_INVERTE_SALDO_CCON                     = 7
WD_IN_MEIO_FIM_ACAO_PT                       = 5
WD_IN_PRECATORIO_CEOR                        = 6
WD_IN_PRSE_CEOR                              = 7
WD_IN_RESULTADO_EOF_CEOR                     = 12
WD_IN_RESULTADO_LEI_CEOR                     = 12
WD_IN_RESULTADO_RECEITA                      = 7
WD_IN_RP_RESULTADO_EOF_CEOR                  = 13
WD_IN_RP_RESULTADO_LEI_CEOR                  = 13
WD_IN_TP_ACRESCIMO                           = 7
WD_IN_TP_CREDITO_CEOR                        = 11
WD_IN_TP_SALDO_CCON                          = 7
WD_ITEM_CCON                                 = 6.708
WD_ITEM_DECODIFICADO_CCON                    = 20.467
WD_ITEM_DOC_HABIL                            = 134.084.924
WD_ITEM_DOC_HABIL_DOC_NS                     = 137.897.861
WD_ITEM_DOC_HABIL_SQL                        = 63.841
WD_ITEM_EXERCICIO_CCON                       = 93.830
WD_ITEM_INFORMACAO                           = 107
WD_JORNADA_CARGO                             = 16
WD_JORNADA_TRABALHO                          = 32
WD_LANCAMENTO_ORGAO_CCON                     = 6
WD_LANCAMENTO_UG_CCON                        = 6
WD_LANC_NSSALDO_CCON                         = 9
WD_LINHA_EVENTO_NC                           = 17.847.527
WD_LINHA_EVENTO_ND                           = 43.991.417
WD_LINHA_EVENTO_NL                           = 56.014.331
WD_LINHA_EVENTO_NS                           = 778.627.128
WD_LINHA_EVENTO_NS_OLD                       = ERRO (TEIID30504 Remote org.teiid.core.TeiidProcessingException: TEIID30504 DWTG_Colunar: 208 TEIID11008:TEIID11004 Error executing statement(s): [Prepared Values: [] SQL: SELECT COUNT(*) FROM "dbpro_33393_dwtg"."dbo"."WD_LINHA_EVENTO_NS_OLD" g_0 WHERE g_0."DT_CARGA_C" <= 20250729])
WD_LINHA_EVENTO_NT                           = 1.866.066
WD_LINHA_EVENTO_OB                           = 308.874.756
WD_LINHA_EVENTO_PE                           = 1.939.131
WD_LINHA_EVENTO_PF                           = 36.182.450
WD_LINHA_EVENTO_RA                           = 861.180.558
WD_LINHA_EVENTO_RO                           = 14.690.335
WD_LISTA_BANCO_OB                            = 121.588.578
WD_LISTA_CREDOR_OB                           = 319.704.201
WD_LISTA_FATURA_OB                           = 127.644.539
WD_LISTA_IMOVEL                              = 3
WD_LISTA_ITENS_NE                            = 49.757.460
WD_LISTA_PIX_OB                              = 122.692.554
WD_LISTA_PRECATORIO_OB                       = 146.158.301
WD_LOCALIZADOR_GASTO_PT                      = 206.484
WD_MATRIZ_FILIAL_UG                          = 6
WD_MEIO_PAGAMENTO_RA                         = 10
WD_MES                                       = 678
WD_MES_BASE                                  = 18
WD_MES_FUTURO                                = 678
WD_MODALIDADE_APLICACAO_NADE                 = 65
WD_MODALIDADE_LICITACAO_NE                   = 18
WD_MOEDA                                     = 333
WD_MOLI_INCOMPATIVEL_NADE                    = 14.617
WD_MOTIVO_INADIMPLENCIA_TV                   = 64
WD_MUNICIPIO                                 = 5.659
WD_NATUREZA_CONTRATO_DIEX                    = 5
WD_NATUREZA_DESPESA                          = 836
WD_NATUREZA_DESPESA_DETA                     = 9.479
WD_NATUREZA_INFORMACAO_CCON                  = 6
WD_NATUREZA_JURIDICA                         = 79
WD_NATUREZA_JURIDICA_SIORG                   = 9
WD_NATUREZA_OBRIGACAO_DIEX                   = 9
WD_NATUREZA_RECEITA                          = 2.568
WD_NATUREZA_RECEITA2                         = 5.314
WD_NIVEL_CARGO                               = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_NIVEL_CLASSE_CARGO_EFETIVO                = ERRO (Remote org.teiid.api.exception.query.QueryResolverException: TEIID31118 Element "DT_CARGA_C" is not defined by any relevant group.)
WD_NIVEL_FUNCAO                              = 130.552
WD_NSSALDO_UG                                = 8
WD_OBJETIVO_PT                               = 499
WD_OPCAO_PAGA_LIFA_OB                        = 5
WD_OPER_CONTRAGARANTIA_DIEX                  = 6
WD_ORCA_FISCAL_ORGAO                         = 5
WD_ORGAO                                     = 764
